,GJGC2,GJGC5,GJGC7,GJGC10,GJGC15,GJGC20,GJGC30,GJGC40
2023/5/1,-0.044,0.105,0.22,0.401,0.761,1.022,1.277,1.376
2023/5/2,-0.035,0.121,0.23,0.417,0.775,1.035,1.29,1.383
2023/5/8,-0.035,0.115,0.21,0.41,0.761,1.031,1.277,1.368
2023/5/9,-0.03,0.125,0.233,0.422,0.775,1.045,1.286,1.377
2023/5/10,-0.04,0.115,0.224,0.411,0.761,1.031,1.277,1.368
2023/5/11,-0.045,0.105,0.194,0.387,0.725,0.993,1.233,1.329
2023/5/12,-0.055,0.1,0.185,0.383,0.738,1.012,1.262,1.352
2023/5/15,-0.051,0.111,0.209,0.407,0.752,1.026,1.277,1.368
2023/5/16,-0.056,0.106,0.199,0.392,0.742,1.012,1.255,1.352
2023/5/17,-0.066,0.091,0.17,0.362,0.705,0.97,1.223,1.332
2023/5/18,-0.061,0.095,0.195,0.382,0.719,0.984,1.246,1.348
2023/5/19,-0.061,0.1,0.215,0.402,0.728,0.998,1.255,1.364
2023/5/22,-0.067,0.091,0.199,0.382,0.709,0.975,1.236,1.336
2023/5/23,-0.061,0.095,0.215,0.397,0.728,0.996,1.25,1.344
2023/5/24,-0.067,0.1,0.219,0.407,0.742,1.012,1.268,1.36
2023/5/25,-0.067,0.116,0.234,0.427,0.774,1.035,1.29,1.379
2023/5/26,-0.067,0.1,0.224,0.416,0.768,1.017,1.263,1.396
2023/5/29,-0.062,0.095,0.24,0.436,0.783,1.035,1.277,1.408
2023/5/30,-0.062,0.095,0.23,0.432,0.775,1.021,1.264,1.396
2023/5/31,-0.059,0.081,0.224,0.431,0.766,1.021,1.273,1.402
2023/6/1,-0.064,0.077,0.214,0.416,0.756,1.021,1.277,1.412
2023/6/2,-0.075,0.07,0.204,0.412,0.756,1.026,1.286,1.425
2023/6/5,-0.065,0.089,0.23,0.432,0.779,1.04,1.286,1.429
2023/6/6,-0.065,0.081,0.214,0.421,0.765,1.021,1.273,1.412
2023/6/7,-0.06,0.076,0.204,0.417,0.747,1.015,1.268,1.412
2023/6/8,-0.06,0.085,0.224,0.437,0.771,1.031,1.286,1.432
2023/6/9,-0.065,0.081,0.214,0.432,0.766,1.021,1.277,1.421
2023/6/12,-0.071,0.076,0.21,0.426,0.766,1.026,1.282,1.421
2023/6/13,-0.076,0.07,0.194,0.417,0.747,1.012,1.259,1.392
2023/6/14,-0.071,0.081,0.21,0.426,0.752,1.016,1.259,1.378
2023/6/15,-0.066,0.085,0.214,0.426,0.748,1.011,1.255,1.371
2023/6/16,-0.066,0.076,0.194,0.402,0.729,0.998,1.25,1.367
2023/6/19,-0.066,0.076,0.184,0.392,0.719,0.984,1.237,1.359
2023/6/20,-0.066,0.076,0.18,0.386,0.705,0.975,1.223,1.35
2023/6/21,-0.072,0.07,0.169,0.372,0.705,0.979,1.223,1.35
2023/6/22,-0.072,0.066,0.163,0.372,0.713,0.984,1.237,1.367
2023/6/23,-0.077,0.055,0.158,0.368,0.705,0.975,1.232,1.363
2023/6/26,-0.082,0.047,0.14,0.352,0.686,0.951,1.205,1.338
2023/6/27,-0.077,0.055,0.154,0.372,0.705,0.966,1.21,1.338
2023/6/28,-0.067,0.066,0.175,0.387,0.719,0.975,1.223,1.354
2023/6/29,-0.078,0.061,0.17,0.382,0.712,0.97,1.228,1.359
2023/6/30,-0.074,0.055,0.18,0.397,0.742,1.003,1.259,1.396
2023/7/3,-0.065,0.059,0.185,0.402,0.742,1.003,1.259,1.396
2023/7/4,-0.07,0.055,0.17,0.372,0.719,0.989,1.25,1.396
2023/7/5,-0.07,0.051,0.19,0.38,0.72,0.975,1.224,1.375
2023/7/6,-0.06,0.065,0.21,0.405,0.738,0.989,1.228,1.367
2023/7/7,-0.04,0.095,0.249,0.434,0.78,1.03,1.265,1.4
2023/7/10,-0.03,0.125,0.298,0.463,0.831,1.086,1.308,1.437
2023/7/11,-0.04,0.095,0.278,0.449,0.817,1.063,1.291,1.425
2023/7/12,-0.035,0.136,0.318,0.474,0.854,1.095,1.321,1.449
2023/7/13,-0.035,0.126,0.298,0.463,0.85,1.081,1.329,1.465
2023/7/14,-0.04,0.126,0.324,0.474,0.863,1.117,1.364,1.498
2023/7/18,-0.035,0.13,0.318,0.478,0.877,1.136,1.393,1.534
2023/7/19,-0.041,0.11,0.278,0.458,0.845,1.105,1.359,1.502
2023/7/20,-0.041,0.106,0.277,0.457,0.835,1.091,1.338,1.478
2023/7/21,-0.03,0.12,0.283,0.474,0.84,1.103,1.338,1.473
2023/7/24,-0.041,0.1,0.248,0.454,0.794,1.058,1.302,1.441
2023/7/25,-0.041,0.1,0.249,0.458,0.802,1.068,1.321,1.461
2023/7/26,-0.041,0.091,0.229,0.443,0.784,1.049,1.299,1.448
2023/7/27,-0.041,0.091,0.229,0.435,0.771,1.045,1.291,1.437
2023/7/28,-0.014,0.151,0.328,0.542,0.856,1.123,1.354,1.494
2023/7/31,0.0001,0.176,0.387,0.595,0.946,1.218,1.456,1.589
2023/8/1,0.0001,0.169,0.362,0.585,0.955,1.24,1.489,1.625
2023/8/2,0.01,0.186,0.391,0.619,0.982,1.263,1.502,1.648
2023/8/3,0.02,0.211,0.436,0.643,1.027,1.293,1.53,1.675
2023/8/4,0.02,0.211,0.43,0.633,1.032,1.312,1.551,1.706
2023/8/7,0.015,0.201,0.406,0.614,1.023,1.298,1.538,1.687
2023/8/8,0.01,0.19,0.396,0.599,0.996,1.267,1.497,1.644
2023/8/9,0.005,0.17,0.356,0.561,0.941,1.213,1.456,1.597
2023/8/10,0.01,0.184,0.376,0.58,0.968,1.245,1.493,1.643
2023/8/14,0.015,0.201,0.41,0.609,1,1.285,1.53,1.675
2023/8/15,0.015,0.195,0.411,0.619,1.009,1.298,1.534,1.675
2023/8/16,0.015,0.206,0.406,0.619,1,1.28,1.518,1.66
2023/8/17,0.025,0.22,0.435,0.643,1.045,1.338,1.575,1.71
2023/8/18,0.02,0.21,0.41,0.619,1.018,1.32,1.563,1.698
2023/8/21,0.025,0.224,0.431,0.642,1.041,1.351,1.583,1.721
2023/8/22,0.02,0.235,0.436,0.657,1.058,1.369,1.595,1.729
2023/8/23,0.02,0.241,0.436,0.666,1.074,1.381,1.607,1.74
2023/8/24,0.005,0.22,0.401,0.638,1.045,1.347,1.579,1.706
2023/8/25,0.005,0.231,0.411,0.648,1.05,1.351,1.587,1.711
2023/8/28,0.005,0.231,0.412,0.652,1.054,1.356,1.591,1.714
2023/8/29,0.01,0.225,0.39,0.633,1.032,1.333,1.579,1.706
2023/8/30,0.03,0.231,0.402,0.643,1.045,1.351,1.591,1.717
2023/8/31,0.025,0.22,0.396,0.638,1.046,1.351,1.595,1.725
2023/9/1,0.02,0.206,0.377,0.619,1.014,1.316,1.567,1.702
2023/9/4,0.015,0.216,0.392,0.634,1.027,1.334,1.579,1.721
2023/9/5,0.015,0.225,0.411,0.648,1.041,1.347,1.583,1.725
2023/9/6,0.015,0.225,0.401,0.643,1.032,1.343,1.571,1.71
2023/9/7,0.01,0.221,0.403,0.648,1.04,1.36,1.579,1.714
2023/9/8,0.005,0.216,0.391,0.638,1.04,1.364,1.591,1.725
2023/9/11,0.04,0.28,0.46,0.695,1.099,1.417,1.628,1.76
2023/9/12,0.03,0.269,0.46,0.695,1.108,1.421,1.635,1.76
2023/9/13,0.025,0.276,0.46,0.695,1.099,1.399,1.603,1.725
2023/9/14,0.025,0.276,0.455,0.696,1.091,1.395,1.599,1.714
2023/9/15,0.025,0.27,0.447,0.696,1.086,1.391,1.595,1.718
2023/9/19,0.03,0.28,0.464,0.706,1.103,1.413,1.619,1.741
2023/9/20,0.02,0.28,0.46,0.71,1.104,1.413,1.615,1.741
2023/9/21,0.03,0.306,0.484,0.734,1.121,1.417,1.607,1.721
2023/9/22,0.03,0.3,0.484,0.73,1.117,1.417,1.611,1.733
2023/9/25,0.025,0.291,0.469,0.715,1.108,1.413,1.611,1.733
2023/9/26,0.025,0.291,0.487,0.729,1.113,1.417,1.62,1.733
2023/9/27,0.025,0.287,0.485,0.725,1.108,1.421,1.628,1.737
2023/9/28,0.03,0.304,0.504,0.743,1.121,1.43,1.635,1.744
2023/9/29,0.045,0.314,0.517,0.753,1.144,1.443,1.648,1.76
2023/10/2,0.055,0.329,0.528,0.758,1.161,1.469,1.672,1.786
2023/10/3,0.05,0.321,0.518,0.747,1.157,1.474,1.675,1.79
2023/10/4,0.06,0.34,0.6,0.805,1.234,1.521,1.711,1.823
2023/10/5,0.06,0.325,0.58,0.8,1.23,1.534,1.739,1.838
2023/10/6,0.06,0.33,0.57,0.798,1.227,1.534,1.749,1.853
2023/10/10,0.055,0.306,0.538,0.771,1.202,1.512,1.736,1.85
2023/10/11,0.055,0.3,0.528,0.771,1.19,1.499,1.715,1.831
2023/10/12,0.045,0.31,0.498,0.751,1.16,1.461,1.681,1.793
2023/10/13,0.04,0.316,0.517,0.76,1.172,1.473,1.697,1.811
2023/10/16,0.04,0.31,0.509,0.751,1.172,1.481,1.715,1.827
2023/10/17,0.056,0.32,0.528,0.781,1.203,1.521,1.753,1.868
2023/10/18,0.066,0.345,0.557,0.805,1.234,1.566,1.766,1.875
2023/10/19,0.076,0.365,0.596,0.838,1.273,1.602,1.799,1.897
2023/10/20,0.071,0.359,0.59,0.834,1.273,1.611,1.816,1.91
2023/10/23,0.082,0.369,0.61,0.858,1.309,1.655,1.867,1.959
2023/10/24,0.077,0.355,0.581,0.838,1.288,1.628,1.846,1.945
2023/10/25,0.072,0.355,0.586,0.848,1.288,1.615,1.825,1.923
2023/10/26,0.087,0.384,0.629,0.877,1.319,1.646,1.842,1.937
2023/10/27,0.088,0.376,0.615,0.867,1.315,1.641,1.829,1.923
2023/10/30,0.104,0.399,0.633,0.886,1.332,1.659,1.846,1.93
2023/10/31,0.15,0.463,0.686,0.943,1.376,1.694,1.863,1.934
2023/11/1,0.155,0.478,0.691,0.949,1.377,1.702,1.879,1.95
2023/11/2,0.135,0.449,0.653,0.911,1.34,1.667,1.85,1.93
2023/11/6,0.125,0.42,0.619,0.867,1.295,1.615,1.813,1.894
2023/11/7,0.125,0.428,0.629,0.873,1.295,1.61,1.808,1.894
2023/11/8,0.115,0.41,0.6,0.843,1.253,1.571,1.77,1.857
2023/11/9,0.105,0.399,0.591,0.833,1.217,1.53,1.723,1.811
2023/11/13,0.1,0.425,0.629,0.867,1.266,1.571,1.77,1.849
2023/11/14,0.089,0.4,0.608,0.848,1.246,1.558,1.761,1.846
2023/11/15,0.064,0.356,0.547,0.795,1.193,1.504,1.714,1.805
2023/11/16,0.054,0.356,0.543,0.786,1.193,1.513,1.728,1.815
2023/11/17,0.043,0.316,0.503,0.752,1.156,1.477,1.692,1.78
2023/11/20,0.043,0.306,0.494,0.742,1.14,1.464,1.684,1.767
2023/11/21,0.033,0.272,0.449,0.697,1.085,1.405,1.62,1.706
2023/11/22,0.048,0.31,0.475,0.728,1.131,1.455,1.667,1.76
2023/11/24,0.063,0.351,0.509,0.77,1.176,1.491,1.697,1.783
2023/11/27,0.063,0.345,0.508,0.771,1.185,1.504,1.715,1.805
2023/11/28,0.058,0.322,0.493,0.752,1.171,1.5,1.718,1.815
2023/11/29,0.042,0.261,0.421,0.679,1.096,1.428,1.654,1.775
2023/11/30,0.027,0.257,0.434,0.674,1.1,1.437,1.68,1.794
2023/12/1,0.04,0.265,0.45,0.703,1.118,1.441,1.68,1.793
2023/12/4,0.03,0.255,0.43,0.694,1.122,1.446,1.685,1.798
2023/12/5,0.035,0.257,0.411,0.668,1.108,1.437,1.68,1.79
2023/12/6,0.035,0.246,0.397,0.65,1.066,1.387,1.623,1.729
2023/12/7,0.085,0.34,0.493,0.752,1.168,1.491,1.706,1.797
2023/12/8,0.09,0.355,0.508,0.77,1.205,1.535,1.758,1.841
2023/12/11,0.086,0.355,0.513,0.776,1.204,1.535,1.761,1.85
2023/12/12,0.065,0.311,0.49,0.737,1.163,1.5,1.736,1.83
2023/12/13,0.045,0.266,0.431,0.688,1.109,1.432,1.667,1.76
2023/12/14,0.055,0.277,0.419,0.673,1.087,1.413,1.639,1.736
2023/12/15,0.086,0.311,0.458,0.708,1.11,1.432,1.65,1.741
2023/12/18,0.076,0.281,0.426,0.669,1.086,1.41,1.633,1.729
2023/12/19,0.066,0.266,0.401,0.644,1.054,1.369,1.589,1.676
2023/12/20,0.03,0.201,0.322,0.561,0.953,1.277,1.518,1.613
2023/12/21,0.035,0.222,0.353,0.59,0.986,1.304,1.554,1.649
2023/12/22,0.046,0.247,0.382,0.63,1.047,1.369,1.615,1.71
2023/12/25,0.036,0.232,0.367,0.615,1.044,1.364,1.611,1.706
2023/12/26,0.041,0.242,0.38,0.634,1.064,1.383,1.624,1.721
2023/12/27,0.054,0.206,0.348,0.6,1.032,1.346,1.585,1.687
2023/12/28,0.039,0.191,0.327,0.59,1.032,1.36,1.625,1.736
2023/12/29,0.049,0.216,0.357,0.62,1.059,1.391,1.658,1.771
2024/1/4,0.049,0.212,0.377,0.62,1.08,1.387,1.663,1.779
2024/1/5,0.034,0.197,0.367,0.605,1.063,1.369,1.637,1.752
2024/1/9,0.024,0.186,0.357,0.586,1.04,1.35,1.624,1.741
2024/1/10,0.024,0.192,0.362,0.589,1.035,1.346,1.615,1.729
2024/1/11,0.013,0.181,0.342,0.6,1.018,1.328,1.611,1.725
2024/1/12,0.003,0.177,0.328,0.585,1.009,1.323,1.602,1.725
2024/1/15,-0.001,0.157,0.303,0.556,0.977,1.291,1.578,1.695
2024/1/16,0.018,0.176,0.337,0.589,1.004,1.314,1.595,1.714
2024/1/17,0.023,0.206,0.347,0.605,1.018,1.323,1.617,1.745
2024/1/18,0.033,0.245,0.397,0.648,1.085,1.401,1.697,1.824
2024/1/19,0.028,0.251,0.399,0.663,1.112,1.45,1.743,1.879
2024/1/22,0.022,0.241,0.38,0.648,1.092,1.434,1.738,1.876
2024/1/23,0.022,0.234,0.372,0.634,1.067,1.408,1.71,1.839
2024/1/24,0.068,0.311,0.454,0.712,1.153,1.487,1.772,1.905
2024/1/25,0.063,0.325,0.474,0.74,1.196,1.526,1.792,1.92
2024/1/26,0.048,0.294,0.435,0.712,1.157,1.5,1.78,1.901
2024/1/29,0.058,0.301,0.444,0.716,1.172,1.517,1.796,1.909
2024/1/30,0.053,0.284,0.426,0.702,1.151,1.491,1.772,1.883
2024/1/31,0.094,0.305,0.445,0.726,1.173,1.509,1.788,1.898
2024/2/1,0.084,0.28,0.406,0.688,1.134,1.469,1.755,1.872
2024/2/2,0.1,0.276,0.38,0.654,1.095,1.434,1.721,1.835
2024/2/5,0.11,0.315,0.44,0.712,1.148,1.483,1.759,1.872
2024/2/6,0.105,0.309,0.434,0.712,1.145,1.478,1.751,1.872
2024/2/7,0.1,0.309,0.431,0.7,1.131,1.461,1.739,1.854
2024/2/8,0.1,0.299,0.421,0.692,1.121,1.452,1.739,1.846
2024/2/9,0.115,0.32,0.446,0.716,1.152,1.483,1.755,1.857
2024/2/13,0.125,0.335,0.445,0.721,1.152,1.483,1.759,1.861
2024/2/14,0.14,0.36,0.483,0.75,1.17,1.5,1.772,1.876
2024/2/15,0.135,0.331,0.45,0.721,1.157,1.496,1.768,1.876
2024/2/16,0.14,0.345,0.455,0.721,1.152,1.483,1.748,1.85
2024/2/19,0.146,0.35,0.454,0.721,1.153,1.483,1.746,1.843
2024/2/20,0.146,0.356,0.46,0.725,1.143,1.465,1.722,1.817
2024/2/21,0.151,0.356,0.459,0.717,1.13,1.451,1.706,1.798
2024/2/22,0.156,0.356,0.455,0.711,1.114,1.434,1.697,1.797
2024/2/26,0.157,0.339,0.429,0.683,1.086,1.403,1.664,1.768
2024/2/27,0.167,0.346,0.435,0.687,1.09,1.412,1.672,1.775
2024/2/28,0.162,0.346,0.44,0.692,1.103,1.43,1.706,1.805
2024/2/29,0.178,0.365,0.454,0.706,1.113,1.443,1.73,1.835
2024/3/1,0.179,0.371,0.45,0.711,1.108,1.434,1.718,1.824
2024/3/4,0.174,0.365,0.44,0.706,1.117,1.448,1.739,1.847
2024/3/5,0.174,0.354,0.43,0.696,1.108,1.439,1.734,1.847
2024/3/6,0.184,0.369,0.44,0.706,1.113,1.439,1.726,1.843
2024/3/7,0.189,0.38,0.46,0.721,1.13,1.456,1.734,1.856
2024/3/8,0.2,0.38,0.46,0.726,1.143,1.474,1.754,1.872
2024/3/11,0.2,0.376,0.475,0.755,1.178,1.511,1.78,1.898
2024/3/12,0.194,0.369,0.484,0.76,1.182,1.509,1.784,1.906
2024/3/13,0.194,0.37,0.48,0.75,1.167,1.496,1.772,1.891
2024/3/14,0.194,0.37,0.503,0.769,1.188,1.522,1.797,1.913
2024/3/15,0.189,0.38,0.514,0.778,1.197,1.531,1.809,1.927
2024/3/18,0.184,0.37,0.488,0.75,1.17,1.5,1.776,1.898
2024/3/19,0.174,0.357,0.47,0.721,1.143,1.474,1.768,1.894
2024/3/21,0.2,0.382,0.495,0.736,1.152,1.478,1.768,1.894
2024/3/22,0.2,0.391,0.494,0.736,1.152,1.478,1.772,1.905
2024/3/25,0.2,0.38,0.484,0.726,1.143,1.478,1.779,1.917
2024/3/26,0.2,0.376,0.489,0.731,1.148,1.482,1.776,1.913
2024/3/27,0.194,0.361,0.47,0.711,1.126,1.459,1.751,1.891
2024/3/28,0.189,0.346,0.455,0.702,1.103,1.443,1.739,1.872
2024/3/29,0.179,0.35,0.47,0.721,1.127,1.469,1.776,1.909
2024/4/1,0.194,0.365,0.484,0.735,1.148,1.495,1.792,1.927
2024/4/2,0.2,0.372,0.494,0.741,1.157,1.514,1.809,1.949
2024/4/3,0.189,0.361,0.495,0.766,1.157,1.505,1.801,1.946
2024/4/4,0.194,0.372,0.504,0.775,1.166,1.513,1.801,1.946
2024/4/5,0.21,0.38,0.499,0.766,1.157,1.505,1.804,1.935
2024/4/8,0.225,0.387,0.518,0.786,1.171,1.522,1.821,1.95
2024/4/9,0.22,0.387,0.513,0.781,1.166,1.518,1.833,1.96
2024/4/10,0.23,0.426,0.533,0.795,1.187,1.54,1.854,1.982
2024/4/11,0.266,0.479,0.585,0.848,1.262,1.605,1.904,2.031
2024/4/12,0.276,0.49,0.605,0.857,1.272,1.631,1.892,2.021
2024/4/15,0.271,0.48,0.601,0.857,1.268,1.631,1.892,2.024
2024/4/16,0.276,0.484,0.606,0.863,1.267,1.64,1.904,2.039
2024/4/17,0.282,0.49,0.624,0.882,1.289,1.657,1.917,2.05
2024/4/18,0.271,0.469,0.596,0.863,1.263,1.622,1.892,2.028
2024/4/19,0.256,0.451,0.572,0.829,1.233,1.591,1.867,2
2024/4/22,0.282,0.49,0.619,0.877,1.276,1.638,1.904,2.037
2024/4/23,0.287,0.49,0.619,0.877,1.289,1.653,1.925,2.064
2024/4/24,0.3,0.49,0.62,0.882,1.29,1.649,1.925,2.068
2024/4/25,0.3,0.495,0.624,0.886,1.298,1.653,1.925,2.063
2024/4/26,0.3,0.505,0.644,0.915,1.333,1.675,1.933,2.071
2024/4/30,0.274,0.47,0.591,0.867,1.29,1.64,1.908,2.043
2024/5/1,0.289,0.485,0.61,0.886,1.302,1.662,1.937,2.071
2024/5/2,0.289,0.485,0.615,0.896,1.311,1.675,1.949,2.088
2024/5/7,0.279,0.47,0.581,0.867,1.285,1.653,1.941,2.086
2024/5/8,0.284,0.481,0.591,0.873,1.289,1.649,1.933,2.082
2024/5/9,0.31,0.514,0.62,0.901,1.32,1.671,1.941,2.092
2024/5/10,0.315,0.518,0.621,0.901,1.328,1.684,1.962,2.11
2024/5/13,0.33,0.54,0.653,0.929,1.362,1.722,1.986,2.134
2024/5/14,0.34,0.554,0.663,0.952,1.38,1.745,2.006,2.162
2024/5/15,0.335,0.551,0.659,0.944,1.367,1.736,2.006,2.165
2024/5/16,0.32,0.53,0.624,0.916,1.342,1.71,1.989,2.159
2024/5/17,0.33,0.547,0.644,0.939,1.368,1.736,2.007,2.179
2024/5/20,0.341,0.576,0.677,0.968,1.389,1.758,2.03,2.2
2024/5/21,0.341,0.576,0.677,0.973,1.393,1.767,2.035,2.2
2024/5/22,0.346,0.585,0.687,0.987,1.415,1.801,2.08,2.241
2024/5/23,0.336,0.581,0.676,0.991,1.444,1.818,2.096,2.307
2024/5/24,0.336,0.585,0.692,0.997,1.444,1.826,2.099,2.295
2024/5/27,0.346,0.595,0.7,1.011,1.453,1.827,2.103,2.295
2024/5/28,0.346,0.591,0.7,1.025,1.449,1.823,2.115,2.304
2024/5/29,0.378,0.631,0.739,1.062,1.487,1.849,2.143,2.334
2024/5/30,0.383,0.629,0.735,1.044,1.478,1.832,2.127,2.319
2024/5/31,0.4,0.635,0.755,1.058,1.495,1.84,2.151,2.339
2024/6/3,0.4,0.629,0.741,1.048,1.487,1.844,2.163,2.366
2024/6/4,0.384,0.6,0.707,1.02,1.466,1.83,2.143,2.346
2024/6/5,0.354,0.566,0.673,0.992,1.433,1.805,2.107,2.307
2024/6/6,0.334,0.54,0.639,0.949,1.373,1.736,2.035,2.228
2024/6/7,0.349,0.551,0.653,0.963,1.39,1.75,2.039,2.231
2024/6/10,0.379,0.597,0.707,1.02,1.454,1.809,2.114,2.307
2024/6/11,0.369,0.591,0.702,1.011,1.441,1.798,2.106,2.303
2024/6/12,0.338,0.557,0.669,0.977,1.412,1.771,2.079,2.275
2024/6/13,0.328,0.546,0.653,0.959,1.396,1.749,2.058,2.24
2024/6/14,0.297,0.517,0.61,0.925,1.37,1.719,2.039,2.22
2024/6/17,0.287,0.506,0.596,0.92,1.383,1.741,2.063,2.263
2024/6/18,0.281,0.512,0.611,0.935,1.401,1.763,2.084,2.283
2024/6/19,0.281,0.506,0.605,0.925,1.384,1.745,2.066,2.263
2024/6/20,0.286,0.512,0.621,0.944,1.401,1.757,2.063,2.251
2024/6/21,0.307,0.54,0.64,0.968,1.423,1.78,2.083,2.267
2024/6/24,0.301,0.54,0.648,0.978,1.449,1.797,2.106,2.291
2024/6/25,0.301,0.544,0.658,0.987,1.454,1.81,2.119,2.303
2024/6/26,0.306,0.551,0.678,1.01,1.48,1.836,2.154,2.342
2024/6/27,0.347,0.594,0.731,1.058,1.517,1.866,2.187,2.374
2024/6/28,0.354,0.579,0.716,1.029,1.479,1.832,2.151,2.341
2024/7/1,0.359,0.59,0.735,1.048,1.504,1.857,2.159,2.342
2024/7/2,0.364,0.605,0.759,1.072,1.529,1.879,2.171,2.346
2024/7/3,0.349,0.59,0.748,1.095,1.534,1.892,2.182,2.358
2024/7/4,0.339,0.575,0.727,1.081,1.526,1.891,2.182,2.358
2024/7/5,0.344,0.575,0.768,1.067,1.562,1.887,2.2,2.374
2024/7/8,0.359,0.59,0.786,1.086,1.572,1.891,2.2,2.38
2024/7/9,0.349,0.571,0.769,1.072,1.568,1.895,2.204,2.393
2024/7/10,0.338,0.6,0.778,1.086,1.58,1.908,2.22,2.408
2024/7/11,0.338,0.606,0.777,1.081,1.58,1.896,2.22,2.412
2024/7/12,0.328,0.581,0.743,1.047,1.534,1.869,2.176,2.381
2024/7/16,0.312,0.56,0.725,1.023,1.518,1.856,2.167,2.37
2024/7/17,0.323,0.571,0.739,1.033,1.521,1.856,2.171,2.37
2024/7/18,0.338,0.585,0.748,1.038,1.522,1.847,2.158,2.354
2024/7/19,0.343,0.591,0.758,1.043,1.518,1.838,2.146,2.338
2024/7/22,0.337,0.591,0.757,1.053,1.534,1.86,2.175,2.37
2024/7/23,0.353,0.6,0.772,1.062,1.543,1.86,2.179,2.377
2024/7/24,0.368,0.616,0.782,1.072,1.548,1.864,2.195,2.404
2024/7/25,0.394,0.631,0.792,1.066,1.535,1.843,2.167,2.374
2024/7/26,0.394,0.624,0.782,1.057,1.514,1.83,2.153,2.361
2024/7/29,0.394,0.6,0.753,1.028,1.489,1.808,2.129,2.339
2024/7/30,0.374,0.585,0.73,0.999,1.469,1.794,2.129,2.35
2024/7/31,0.45,0.664,0.795,1.057,1.518,1.838,2.175,2.385
2024/8/1,0.46,0.652,0.773,1.033,1.485,1.802,2.15,2.35
2024/8/2,0.41,0.577,0.691,0.961,1.422,1.741,2.096,2.291
2024/8/5,0.263,0.363,0.47,0.766,1.248,1.569,1.954,2.147
2024/8/6,0.288,0.427,0.583,0.893,1.38,1.727,2.117,2.307
2024/8/7,0.268,0.413,0.579,0.883,1.396,1.758,2.187,2.389
2024/8/8,0.268,0.402,0.541,0.839,1.338,1.695,2.104,2.295
2024/8/9,0.298,0.437,0.566,0.864,1.355,1.714,2.079,2.264
2024/8/13,0.297,0.437,0.548,0.849,1.343,1.705,2.079,2.271
2024/8/14,0.292,0.422,0.528,0.815,1.308,1.664,2.049,2.244
2024/8/15,0.318,0.445,0.553,0.843,1.322,1.673,2.049,2.244
2024/8/16,0.353,0.489,0.594,0.878,1.364,1.709,2.066,2.263
2024/8/19,0.369,0.504,0.605,0.893,1.39,1.74,2.091,2.291
2024/8/20,0.358,0.494,0.601,0.893,1.398,1.749,2.116,2.315
2024/8/21,0.348,0.475,0.582,0.874,1.379,1.723,2.099,2.307
2024/8/22,0.358,0.486,0.589,0.878,1.372,1.709,2.083,2.287
2024/8/23,0.368,0.5,0.614,0.898,1.386,1.723,2.084,2.287
2024/8/26,0.358,0.49,0.6,0.887,1.372,1.714,2.09,2.298
2024/8/27,0.363,0.494,0.6,0.883,1.369,1.704,2.074,2.283
2024/8/28,0.373,0.505,0.615,0.898,1.377,1.709,2.07,2.28
2024/8/29,0.358,0.494,0.605,0.892,1.385,1.727,2.095,2.303
2024/8/30,0.364,0.494,0.608,0.898,1.391,1.731,2.108,2.327
2024/9/2,0.369,0.509,0.621,0.912,1.406,1.745,2.121,2.346
2024/9/3,0.389,0.529,0.637,0.927,1.414,1.745,2.112,2.335
2024/9/4,0.374,0.505,0.6,0.892,1.382,1.717,2.087,2.311
2024/9/5,0.374,0.499,0.586,0.878,1.369,1.705,2.066,2.287
2024/9/6,0.379,0.493,0.565,0.854,1.347,1.681,2.041,2.256
2024/9/9,0.394,0.514,0.606,0.897,1.381,1.713,2.073,2.283
2024/9/10,0.394,0.518,0.605,0.898,1.385,1.723,2.087,2.299
2024/9/11,0.379,0.491,0.562,0.859,1.351,1.691,2.074,2.295
2024/9/12,0.389,0.506,0.58,0.868,1.364,1.696,2.07,2.299
2024/9/13,0.389,0.495,0.565,0.849,1.339,1.664,2.041,2.271
2024/9/17,0.384,0.487,0.553,0.834,1.326,1.65,2.015,2.244
2024/9/18,0.374,0.476,0.553,0.83,1.331,1.664,2.019,2.244
2024/9/19,0.384,0.491,0.575,0.858,1.367,1.709,2.079,2.311
2024/9/20,0.389,0.506,0.59,0.869,1.371,1.718,2.1,2.342
2024/9/24,0.342,0.457,0.532,0.815,1.327,1.677,2.079,2.323
2024/9/25,0.348,0.461,0.542,0.82,1.318,1.659,2.057,2.299
2024/9/26,0.342,0.461,0.553,0.839,1.343,1.691,2.096,2.342
2024/9/27,0.316,0.435,0.522,0.815,1.331,1.69,2.116,2.361
2024/9/30,0.384,0.495,0.576,0.859,1.352,1.691,2.087,2.331
2024/10/1,0.389,0.495,0.57,0.859,1.348,1.691,2.09,2.331
2024/10/2,0.364,0.476,0.542,0.825,1.323,1.668,2.083,2.327
2024/10/3,0.364,0.476,0.57,0.83,1.347,1.673,2.096,2.339
2024/10/4,0.369,0.491,0.595,0.881,1.359,1.682,2.095,2.335
2024/10/7,0.405,0.54,0.639,0.92,1.404,1.722,2.125,2.366
2024/10/8,0.4,0.541,0.639,0.92,1.406,1.726,2.121,2.369
2024/10/9,0.4,0.545,0.648,0.929,1.422,1.741,2.141,2.393
2024/10/10,0.41,0.56,0.673,0.952,1.447,1.767,2.17,2.431
2024/10/11,0.41,0.575,0.663,0.943,1.431,1.754,2.153,2.42
