,GJGC7,GJGC20,GJGC40
2020/10/14,-0.087,0.41,0.652
2020/10/15,-0.099,0.405,0.644
2020/10/16,-0.105,0.4,0.63
2020/10/19,-0.1,0.4,0.63
2020/10/20,-0.105,0.389,0.617
2020/10/21,-0.09,0.405,0.635
2020/10/22,-0.089,0.405,0.639
2020/10/23,-0.074,0.409,0.652
2020/10/26,-0.085,0.405,0.652
2020/10/27,-0.092,0.405,0.644
2020/10/28,-0.099,0.405,0.644
2020/10/29,-0.095,0.404,0.639
2020/10/30,-0.08,0.414,0.656
2020/11/2,-0.074,0.409,0.652
2020/11/4,-0.088,0.405,0.657
2020/11/5,-0.105,0.381,0.626
2020/11/6,-0.109,0.39,0.643
2020/11/9,-0.11,0.385,0.644
2020/11/10,-0.085,0.405,0.661
2020/11/11,-0.075,0.405,0.67
2020/11/12,-0.089,0.405,0.67
2020/11/13,-0.1,0.405,0.674
2020/11/16,-0.099,0.405,0.674
2020/11/17,-0.099,0.4,0.666
2020/11/18,-0.11,0.385,0.648
2020/11/19,-0.109,0.381,0.653
2020/11/20,-0.109,0.375,0.644
2020/11/24,-0.1,0.385,0.657
2020/11/25,-0.104,0.383,0.666
2020/11/26,-0.1,0.388,0.674
2020/11/27,-0.094,0.395,0.677
2020/11/30,-0.094,0.395,0.674
2020/12/1,-0.1,0.39,0.675
2020/12/2,-0.089,0.39,0.674
2020/12/3,-0.089,0.385,0.67
2020/12/4,-0.089,0.39,0.679
2020/12/7,-0.088,0.385,0.674
2020/12/8,-0.099,0.375,0.661
2020/12/9,-0.099,0.375,0.648
2020/12/10,-0.105,0.375,0.635
2020/12/11,-0.105,0.375,0.635
2020/12/14,-0.11,0.385,0.652
2020/12/15,-0.115,0.381,0.652
2020/12/16,-0.108,0.385,0.657
2020/12/17,-0.104,0.381,0.655
2020/12/18,-0.104,0.381,0.653
2020/12/21,-0.104,0.385,0.666
2020/12/22,-0.11,0.381,0.657
2020/12/23,-0.109,0.376,0.639
2020/12/24,-0.099,0.385,0.648
2020/12/25,-0.095,0.395,0.657
2020/12/28,-0.094,0.395,0.661
2020/12/29,-0.094,0.4,0.67
2020/12/30,-0.094,0.395,0.669
